t,arm,reward,tuned_p,max_steps,framework,tools
101,reflective_agentic,0.900,0.42,5,CustomGraphAgent,python_repl|search|retry|reflect
102,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search|retry
103,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
104,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
105,reflective_agentic,0.900,0.42,5,CustomGraphAgent,python_repl|search|retry|reflect
106,llm_agentic,0.900,0.42,3,LiteAgent,python_repl|search|retry
107,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
108,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
109,reflective_agentic,0.900,0.42,5,CustomGraphAgent,python_repl|search|retry|reflect
110,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search
111,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
112,basic_agentic,0.900,0.42,5,LLM-Agent-Base,python_repl|search
113,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
114,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search|retry
115,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
116,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
117,reflective_agentic,0.900,0.42,5,CustomGraphAgent,python_repl|search|retry|reflect
118,llm_agentic,0.900,0.42,3,LiteAgent,python_repl|search|retry
119,graph_agentic,0.900,0.42,5,GraphPlanner,router|python_repl|reflect|retry|search
120,basic_agentic,0.900,0.42,5,LLM-Agent-Base,python_repl|search
121,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
122,llm_agentic,0.900,0.42,5,LiteAgent,python_repl|search|retry
123,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
124,basic_agentic,0.900,0.42,3,LLM-Agent-Base,python_repl|search
125,reflective_agentic,0.900,0.42,3,CustomGraphAgent,python_repl|search|retry|reflect
126,llm_agentic,0.900,0.42,3,LiteAgent,python_repl|search|retry
127,graph_agentic,0.900,0.42,3,GraphPlanner,router|python_repl|reflect|retry|search
128,basic_agentic,0.900,0.42,5,LLM-Agent-Base,python_repl|search
129,reflective_agentic,0.900,0.42,5,CustomGraphAgent,python_repl|search|retry|reflect
130,llm_agentic,0.900,0.42,3,LiteAgent,python_repl|search|retry
